,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,True,True,True,True,True,True,True,True,True,True,True,True,False,False
delta,,,True,True,False,False,False,False,True,True,False,False,False,False,False
iac,,,,False,True,True,False,False,True,True,True,True,True,True,True
process,,,,,True,False,False,True,True,True,True,True,True,True,True
pdg_delta,,,,,,True,True,True,True,True,True,True,True,False,False
pdg_iac,,,,,,,True,True,True,True,True,True,True,True,True
pdg_process,,,,,,,,True,True,True,True,True,True,True,True
delta_iac,,,,,,,,,True,True,True,True,True,True,True
delta_process,,,,,,,,,,True,True,False,False,True,True
iac_process,,,,,,,,,,,True,True,True,True,True
pdg_delta_iac,,,,,,,,,,,,True,True,True,True
pdg_delta_process,,,,,,,,,,,,,True,True,True
pdg_iac_process,,,,,,,,,,,,,,False,False
delta_iac_process,,,,,,,,,,,,,,,True
pdg_iac_delta_process,,,,,,,,,,,,,,,
